Bill of Materials / MechaSlate	,,,,
Pranav Mukkara,,,,
6/25/25,,,,
Item Name,Item Source,Quantity,cost USD(w/ shipping)	,Link
Akko V3 Creamy Blue,Amazon,80,30.98,https://www.amazon.com/Keyboard-Switch-Dustproof-Mechanical-Tactile-Switches/dp/B0C3H7PR1Z/ref=sr_1_2?crid=3V8ZPHA61P1MI&dib=eyJ2IjoiMSJ9.fKBr5G4iSMtdTKbGCum4GTBxYhCkemfukSXdnXwlOggG5oUsWwYAkdNtq9D0iMtFWSFib3KoufBG9x8I5c5MVUElE49E3UFhJKIZ3ApsSM-5lvnFfwzDVzr6UqqM9poQk2m3qxSxbyNIokBwpc6-MH-W-xoeoUtm8VAZ283vHpdD6ug9pvK7o0DDKZvxSUEk65CaZ0EXJkd1_wkjwBl1uJF0N5W6FdGn0ADwHfifVrA.90b59dVQxtPg1F6tWS84BnlJyIl1gNKa-D9l9R-ZRBo&dib_tag=se&keywords=mechanical%2Bswitches&qid=1750895537&sprefix=mechanical%2Bswitche%2Caps%2C130&sr=8-2&th=1
PCB x5 (min quantity),PCB WAY,,70,
1N4148 Diodes ,Amazon,80,5,https://www.amazon.com/120Pcs-Rectifier-100Volt-Electronic-Silicon/dp/B0DN62QFYS/ref=sr_1_2?crid=1NZP4MAKACY15&dib=eyJ2IjoiMSJ9.8C1ebcszlPAbe4ldgX4jaM9nlgUAEZPfJqUMbjw_ZdqFKxpnIivj_Z4cD5uV-gtOvZBRazL-E3Q1E3eIT-Ftjfa-M9u06JHbpagrebY6wR-MjXtE1g2eBqvQ9QfL5Z_cTC2qNZDhdzfQsdHBOuk4NguB0ZzVxi_ZnOogCMsG99KTpR-rOWwd8dx9r3WikMGhAXj6ucuVXPIyicNVLnkdmw5zp6bgk_T0abfg_QhSpIk.yLjXK7wRlg-Hz0BfUQS_emE2Fbb75e3WeWxR9YOZ8y0&dib_tag=se&keywords=1n4148%2Bdiode&qid=1750895805&sprefix=1N4148%2B%2Caps%2C134&sr=8-2&th=1
Durock V3 Stabilizers,Amazon,8,15,https://www.amazon.com/DUROCK-Stabilizer-Innovative-Pre-clipped-Stabilizers/dp/B0CTHNZWN5/ref=sr_1_2?crid=2YND75THDZ71R&dib=eyJ2IjoiMSJ9.9YfniIYaI-o34quoUu90m3IVLkb4CNwyUl-SF8Fa0k30TPJD2oXjwvplYKLUvzz5oBOeM0fKrU5epHnFkPKzpaeCa2pE7aeqGZCMdcpq5P3N24mrE2Wy7Mu9ZeUTCEQjblblRVyfnqsjdvppAg5TxKPo_RuBAgn2zEmaJQvSTe4phoVZpAuzQXckSCATkHQf1teP9mYFuBXbdWuhYxIs8tDTrkJdPAxXpRpw2YnIhDc.6Kj9YbwQpDxJUeGeAAW4wsdQlsfZg6llBKqjkAUyMjQ&dib_tag=se&keywords=Durock%2BV3%2BStabilizers&qid=1750895835&sprefix=durock%2Bv3%2Bstabilizers%2Caps%2C136&sr=8-2&th=1
heatset inserts,Amazon,4,7,https://www.amazon.com/Threaded-Inserts-Soldering-Printed-Materials/dp/B0D7M3LJDL/ref=sr_1_1?crid=3QZDBQXSKRU35&dib=eyJ2IjoiMSJ9.TwXOi20xgBRd0n6qYM1WhV77xBk-3OSrIR2iz97DqR-zHLno-iLJif7tALJYQQG0uBneqK91YwYKwlOy8VACWcxlYHq9SkNRcOzNTHUaqBlkn0XEFOlVw_hkG1YHrU4i_o1rC7-dxaXwGvNd4M2CQ01mVR0tAPXtc9kX-9cozYncDvfSlINvCWy4xUOvBKtPHRdf_f9zduAmGxicl6vt1bSo2uvhSrKc4KHI-Kr5sgo.3IrV-xt1TwdcPG-fDb_L3T_gU6rrWeTdcYyxAc10u7E&dib_tag=se&keywords=heatset%2Binserts%2Bm3&qid=1750895904&sprefix=heatset%2Binserts%2Bm%2Caps%2C127&sr=8-1&th=1
Nice_Nano_V2,Amazon,1,15,https://www.amazon.com/AITRIP-Development-Bluetooth-Management-Module%EF%BC%8CNano/dp/B0DCZJKYL1/ref=sr_1_1?crid=2DO3PWHLDKPBU&dib=eyJ2IjoiMSJ9.r1x7MrhEmzjZsjVM-WVZleRI46Xy1yf3SpHt_AOgLDRhQc2ErkSjyVMLVjaL_qQsggobMgZJk8u8nVifN1DM3-2QyfhgCzRAdTgsoaWe6ibA8fY9VC4V8xYi2rafTrbHL3LLoKlgxQjito2Hluo4dr-XRpCPRyB061eb9TpGqa22AcU-vi0IQ81lLb8XLP9J6FHsi5dxECTH0_K2hZQEmCWnvypa8UxT0GPsB0t1uVA.cCG4lu1GNZcAlBXO1QaydRfsgY11n8NoO3NpEclm1a0&dib_tag=se&keywords=Nice_Nano_V2&qid=1750895977&sprefix=nice_nano_v2%2Caps%2C186&sr=8-1
keycaps,Amazon,80,18,https://www.amazon.com/Keycaps-Doubleshot-Percent-Mechanical-Keyboard/dp/B0D1QVD55F/ref=sr_1_1?crid=2C83SKJ6IXOXQ&dib=eyJ2IjoiMSJ9.zEkcyt2autzMfJSmHiztLDvsxSmTtl97hkaq48-kgPoHbughJEeKreEhJIEldYH3aM7OfiiExIYq_OAMcjgLLZ75HwHDwg4lovccHK-NovY9--uDyJ7HKFVWYXG6f1EfNY0OGP-bxX-KKSpcmeT7ZrV3m_1VvwEMMxk3OQNFfQtBOfElMc8EmS1GXqCL8FJ-T8rQlqWWOT_g3K-vA3c8Nx8Y8aIl8e5MjLYiDg3Z3Dw.LSbk542b5PjWgET1ma7ldn8C6btV93Q9RSVqV7RanHY&dib_tag=se&keywords=keycaps&qid=1750895995&sprefix=keycaps%2Caps%2C145&sr=8-1&th=1
,,,,
,,,,
Total:,,,160.98,